Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.101.8-44.240.84.175-55196-443-6,192.168.101.8,55196,44.240.84.175,443,6,10/04/2023 12:51:40 AM,1288,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1552.7950310559006,1288.0,0.0,1288.0,1288.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,776.3975155279503,776.3975155279503,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,260,0,0,0,0,0,0,0,0,0,0,No Label
192.168.101.8-44.240.84.175-55201-443-6,192.168.101.8,55201,44.240.84.175,443,6,10/04/2023 12:51:39 AM,1259416,8,14,3174.0,6886.0,1420.0,0.0,396.75,501.1759742274735,1420.0,0.0,491.857142857143,640.50807442732,7987.829279602609,17.46841393153652,59972.19047619048,117007.26982825428,355961.0,0.0,651306.0,93043.71428571429,160671.16648579098,375855.0,0.0,1259416.0,96878.15384615384,141111.6094030101,356609.0,0.0,0,0,0,0,160,304,6.352150520558735,11.116263410977785,0.0,1420.0,437.39130434782606,577.5164491266527,333525.24901185767,0,1,0,0,0,0,0,0,1.0,457.27272727272725,396.75,491.85714285714283,0,0,0,0,0,0,8,3174,14,6886,-1,275,5,0,0,0,0,0,0,0,0,0,No Label
192.168.101.8-44.240.84.175-55201-443-6,192.168.101.8,55201,44.240.84.175,443,6,10/04/2023 12:51:40 AM,820,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2439.0243902439024,820.0,0.0,820.0,820.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1219.5121951219512,1219.5121951219512,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,255,0,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,10/04/2023 12:49:43 AM,82679190,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03628482572216781,4.1339595E7,3930417.687886365,4.411882E7,3.856037E7,3.856037E7,3.856037E7,0.0,3.856037E7,3.856037E7,0,0,0,0,0,0,0,0,0,0,0,0.024189883814778542,0.012094941907389271,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,4.1339595E7,3930417.687886365,4.411882E7,3.856037E7,No Label
192.168.101.8-108.158.221.31-54821-443-6,192.168.101.8,54821,108.158.221.31,443,6,10/04/2023 12:49:27 AM,92321621,22,32,388.0,28151.0,127.0,0.0,17.636363636363633,36.0707577838277,1420.0,0.0,879.7187500000001,674.3501165100342,309.12585471175817,0.5849117402303844,1741917.3773584904,7470773.120638439,4.4955219E7,0.0,7.0391274E7,3351965.4285714286,1.0840515618747065E7,4.4955219E7,32.0,9.2321621E7,2978116.8064516126,9656462.567066386,4.5030094E7,0.0,0,0,0,0,452,664,0.2382973756494159,0.34661436458096856,0.0,1420.0,518.909090909091,667.8691176040096,446049.15824915835,0,0,0,0,1,0,0,0,1.0,528.5185185185185,17.636363636363637,879.71875,0,0,0,0,0,0,22,388,32,28151,-1,135,7,0,443871.3333333334,733705.117879338,1291081.0,20078.0,3.0182311666666668E7,1.2828072420508131E7,4.4955219E7,2.1857589E7,No Label
185.199.109.133-192.168.101.8-443-54672-6,192.168.101.8,54672,185.199.109.133,443,6,10/04/2023 12:49:30 AM,90064790,2,4,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.25,0.5,0.03330935429927722,0.06661870859855444,1.8012958E7,2.46411911849238E7,4.5006628E7,17067.0,4.5023963E7,4.5023963E7,0.0,4.5023963E7,4.5023963E7,9.006479E7,3.0021596666666668E7,2.5984684952281456E7,4.5025158E7,17067.0,0,0,0,0,40,116,0.022206236199518146,0.04441247239903629,0.0,1.0,0.5714285714285714,0.5345224838248487,0.28571428571428564,0,0,0,0,1,0,0,0,2.0,0.6666666666666666,1.0,0.25,0,0,0,0,0,0,2,2,4,1,-1,280,2,0,17798.5,1034.497220875919,18530.0,17067.0,4.50060305E7,844.9926035179243,4.5006628E7,4.5005433E7,No Label
192.168.101.8-199.232.254.137-54407-443-6,192.168.101.8,54407,199.232.254.137,443,6,10/04/2023 12:49:54 AM,114963850,2,5,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.2,0.4472135954999579,0.026095159478392558,0.060888705449582636,1.9160641666666668E7,2.221498706085571E7,4.5002824E7,17645.0,4.5028242E7,4.5028242E7,0.0,4.5028242E7,4.5028242E7,1.1496385E8,2.87409625E7,2.1370885007604413E7,4.5027913E7,17645.0,0,0,0,0,40,136,0.017396772985595037,0.043491932463987595,0.0,1.0,0.5,0.5345224838248487,0.28571428571428564,0,0,0,0,1,0,0,0,2.0,0.5714285714285714,1.0,0.2,0,0,0,0,0,0,2,2,5,1,-1,284,2,0,21531.5,5496.341010163034,25418.0,17645.0,4.50026595E7,232.63813101037414,4.5002824E7,4.5002495E7,No Label
192.168.101.8-199.232.254.137-54407-443-6,192.168.101.8,54407,199.232.254.137,443,6,10/04/2023 12:51:49 AM,9036,0,2,0.0,75.0,0,0,0,0,75.0,0.0,37.5,53.033008588991066,8300.132802124834,221.3368747233289,9036.0,0.0,9036.0,9036.0,0,0,0,0,0,9036.0,9036.0,0.0,9036.0,9036.0,0,0,0,0,0,40,0.0,221.3368747233289,0.0,75.0,25.0,43.30127018922193,1875.0,0,0,0,0,1,0,0,0,0.0,37.5,0.0,37.5,0,0,0,0,0,0,0,0,2,75,-1,284,0,0,0,0,0,0,0,0,0,0,No Label
192.168.101.8-199.232.254.137-54407-443-6,192.168.101.8,54407,199.232.254.137,443,6,10/04/2023 12:51:49 AM,620,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3225.8064516129034,620.0,0.0,620.0,620.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1612.9032258064517,1612.9032258064517,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,510,0,0,0,0,0,0,0,0,0,0,No Label
192.168.101.8-18.164.188.95-54435-443-6,192.168.101.8,54435,18.164.188.95,443,6,10/04/2023 12:49:51 AM,104248690,63,100,7022.0,63972.0,302.0,0.0,111.46031746031746,112.77408553226903,1420.0,0.0,639.72,627.2890539230837,681.0061594059359,1.5635688083946186,643510.4320987653,4626975.807094714,4.5008625E7,0.0,1.0424851E8,1681427.5806451612,7402318.019494465,4.5008625E7,84.0,1.0424862E8,1053016.3636363638,5901864.281213478,4.5075315E7,0.0,0,1,0,0,1260,2012,0.6043241406678588,0.95924466772676,0.0,1420.0,434.3902439024391,556.9724086104395,310218.26395331434,0,0,0,1,1,0,0,0,1.0,437.0552147239264,111.46031746031746,639.72,0,0,0,0,0,0,63,7022,100,63972,-1,361,40,0,1379721.3333333335,1634359.579160086,3210121.0,66578.0,3.3120413333333332E7,1.035759334286215E7,4.5008625E7,2.6043807E7,No Label
