Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.101.8-44.240.84.175-55214-443-6,192.168.101.8,55214,44.240.84.175,443,6,10/04/2023 12:51:54 AM,313593,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.377693379635387,313593.0,0.0,313593.0,313593.0,0.0,0.0,0.0,0.0,0.0,313593.0,313593.0,0.0,313593.0,313593.0,0,0,0,0,0,40,0.0,6.377693379635387,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,276,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
192.168.101.8-224.0.0.22-0-0-0,192.168.101.8,0,224.0.0.22,0,0,10/04/2023 12:51:45 AM,407357,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.729095118041425,81471.4,172293.0999004313,389532.0,6.0,394128.0,98532.0,194008.9067079138,389532.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,12.274245931701186,2.454849186340237,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,1,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
192.168.101.8-199.232.252.95-54528-443-6,199.232.252.95,443,192.168.101.8,54528,6,10/04/2023 12:52:21 AM,17748,1,2,0.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,12.0,16.97056274847714,1352.265043948614,169.03313049357675,8874.0,12293.758497709316,17567.0,181.0,0.0,0.0,0.0,0.0,0.0,181.0,181.0,0.0,181.0,181.0,0,1,0,0,20,40,56.34437683119225,112.6887536623845,0.0,24.0,12.0,13.856406460551018,192.0,1,0,0,1,1,0,0,0,2.0,16.0,0.0,12.0,0,0,0,0,0,0,1,0,2,24,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
142.250.194.164-192.168.101.8-443-54232-17,192.168.101.8,54232,142.250.194.164,443,17,10/04/2023 12:53:34 AM,245411,14,17,2665.0,10612.0,1250.0,31.0,190.3571428571429,333.24641082788924,1250.0,24.0,624.2352941176471,548.4672425737663,54101.07941371822,126.31870617046506,8180.366666666666,17805.22206328774,65303.0,0.0,164090.0,12622.307692307691,25543.15412324998,73202.0,103.0,245411.0,15338.1875,23304.491004149822,68480.0,0.0,0,0,0,0,112,136,57.04715762537132,69.27154854509374,24.0,1250.0,453.9687499999998,519.1846886488653,269552.7409274192,0,0,0,0,0,0,0,0,1.0,468.61290322580646,190.3571428571429,624.2352941176471,0,0,0,0,0,0,14,2665,17,10612,-1,-1,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
192.168.101.8-216.58.196.206-55184-443-6,192.168.101.8,55184,216.58.196.206,443,6,10/04/2023 12:53:53 AM,19816,0,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.7071067811865476,50.46427129592249,100.92854259184496,19816.0,0.0,19816.0,19816.0,0.0,0.0,0.0,0.0,0.0,19816.0,19816.0,0.0,19816.0,19816.0,0,0,0,0,0,52,0.0,100.92854259184496,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.5,0,0,0,0,0,0,0,0,2,1,-1,265,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
192.168.101.8-117.219.229.78-50286-443-17,192.168.101.8,50286,117.219.229.78,443,17,10/04/2023 12:52:01 AM,89535224,559,3246,30001.0,4023582.0,1250.0,29.0,53.66905187835423,126.5020702976882,1250.0,22.0,1239.5508317929764,107.6098344019573,45273.61209259945,42.49724108580998,23537.12513144057,718243.5031088874,28643771.0,-223.0,89535007.0,160457.00179211493,1870969.8219614024,28646883.0,46.0,89526269.0,27588.98890600926,784986.1941009205,28680109.0,0.0,0,0,0,0,4472,25968,6.243352895392321,36.25388819041766,22.0,1250.0,1065.3791382028376,434.1465868166718,188483.25884456592,0,0,0,0,0,0,0,0,5.0,1065.6591327201052,53.6690518783542,1239.550831792976,0,0,0,0,0,0,559,30001,3246,4023582,-1,-1,559,0,1305870.5,794552.7783537521,2419610.0,534750.0,21013188.75,8099724.619363895,28643771.0,13274413.0,No Label
192.168.101.8-8.8.4.4-62168-443-17,192.168.101.8,62168,8.8.4.4,443,17,10/04/2023 12:53:15 AM,48888026,64,66,6693.0,15067.0,1250.0,30.0,104.578125,165.2205649108017,1250.0,22.0,228.28787878787884,361.5630071764922,445.0987650841128,2.6591378428738355,378976.9457364341,2116442.549303737,17049999.0,0.0,48887484.0,775991.8095238097,2989108.952592647,17049999.0,91.0,48875851.0,751936.1692307693,2963738.1922989404,17177606.0,0.0,0,0,0,0,512,528,1.309114014953273,1.3500238279205627,22.0,1250.0,175.6488549618321,302.26638591873063,91364.968056371,0,0,0,0,0,0,0,0,1.0,177.0,104.578125,228.2878787878788,0,0,0,0,0,0,64,6693,66,15067,-1,-1,64,0,2696288.0,2749047.9888097625,5553946.0,70543.0,13546237.0,3051340.681770392,17049999.0,11472768.0,No Label
192.168.101.8-99.86.47.115-55191-443-6,192.168.101.8,55191,99.86.47.115,443,6,10/04/2023 12:53:54 AM,24437,0,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.7071067811865476,40.92155338216639,81.84310676433277,24437.0,0.0,24437.0,24437.0,0.0,0.0,0.0,0.0,0.0,24437.0,24437.0,0.0,24437.0,24437.0,0,0,0,0,0,52,0.0,81.84310676433277,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.5,0,0,0,0,0,0,0,0,2,1,-1,142,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
192.168.101.8-18.165.61.26-54670-443-6,192.168.101.8,54670,18.165.61.26,443,6,10/04/2023 12:53:30 AM,45907827,5,8,75.0,912.0,39.0,0.0,15.0,20.137030565602267,447.0,0.0,114.0,190.6185420451761,21.499601799928367,0.283176112866331,3825652.25,12970767.93361584,45012064.0,0.0,45655824.0,11413956.0,22570542.8847816,45269486.0,2254.0,45907827.0,6558261.000000001,17067941.434891146,45263912.0,0.0,0,1,0,0,100,172,0.1089138895639734,0.1742622233023575,0.0,447.0,98.7142857142857,171.11958417408596,29281.91208791209,0,0,0,1,1,0,0,0,1.0,106.3076923076923,15.0,114.0,0,0,0,0,0,0,5,75,8,912,-1,158,3,0,643915.0,0.0,643915.0,643915.0,45012064.0,0.0,45012064.0,45012064.0,No Label
192.168.101.8-108.158.221.53-62107-443-17,192.168.101.8,62107,108.158.221.53,443,17,10/04/2023 12:50:59 AM,58179610,143,166,34657.0,110460.0,1250.0,41.0,242.35664335664345,299.7454884152109,1420.0,43.0,665.4216867469879,598.8735207285966,2494.2931037179524,5.3111390743251805,188894.8376623378,914027.5390905794,12131393.0,0.0,58087511.0,409066.9788732392,1316297.157205178,12131393.0,50.0,58174808.0,352574.59393939405,1354291.8739652298,14069455.0,0.0,0,0,0,0,1144,1328,2.4579057852055044,2.853233289119676,41.0,1420.0,472.1516129032257,528.4538412917738,279263.46237603115,0,0,0,0,0,0,0,0,1.0,473.6796116504854,242.35664335664336,665.4216867469879,0,0,0,0,0,0,143,34657,166,110460,-1,-1,143,0,14552864.5,17788227.79622255,27131041.0,1974688.0,10290489.5,2603430.696720099,12131393.0,8449586.0,No Label
